NUMERO PEDIDO,NUMERO FACTURA,COD-ART,ESTATUS LINEA,ESTATUS LINEA FDV,CANT PEDIDA,CANTIDAD ART,VENTA DOLARES
P015313926042060656,03375502,12-06-144,DESPACHADO,DESPACHADO,4.0,4.0,24.068
P015313926041860650,03375287,05-01-218,DESPACHADO,DESPACHADO,6.0,6.0,17.22
P015313926041860650,03375287,04-01-973,DESPACHADO,DESPACHADO,3.0,3.0,24.54
P015313926041860650,03375287,01-12-510,DESPACHADO,DESPACHADO,4.0,4.0,11.8
P015313926041860650,03375287,01-12-519,DESPACHADO,DESPACHADO,4.0,4.0,11.44
P015313926041860650,03375287,05-01-295,DESPACHADO,DESPACHADO,5.0,5.0,9.7
P015313926041760646,03375144,02-01-023,DESPACHADO,DESPACHADO,10.0,10.0,7.74
P015313926041760646,03375144,25-03-087,DESPACHADO,DESPACHADO,4.0,4.0,15.976
P015313926041760646,03375144,07-06-327,DESPACHADO,DESPACHADO,4.0,4.0,32.064
P015313926042960700,03377108,14-09-724,DESPACHADO,DESPACHADO,3.0,3.0,48.69
P015313926042960700,03377108,14-09-723,DESPACHADO,DESPACHADO,3.0,3.0,48.69
P015313926042960701,03377373,05-01-704,DESPACHADO,DESPACHADO,3.0,3.0,8.496
P015313926042960701,03377373,14-09-693,DESPACHADO,DESPACHADO,4.0,4.0,23.172
P015313926042960701,03377373,20-03-327,DESPACHADO,DESPACHADO,4.0,4.0,10.076
P015313926042960701,03377373,01-01-082,DESPACHADO,DESPACHADO,4.0,4.0,9.364
P015313926042960701,03377373,20-03-174,DESPACHADO,DESPACHADO,6.0,6.0,23.862
P061406426041760527,0076236,21-10-026,DESPACHADO,DESPACHADO,3.0,3.0,6.984
P061406426041760527,0076236,21-04-134,DESPACHADO,DESPACHADO,2.0,2.0,7.372
P061406426041760527,0076236,09-19-065,DESPACHADO,DESPACHADO,4.0,4.0,19.4
P061406426041760527,0076236,21-01-155,DESPACHADO,DESPACHADO,5.0,5.0,4.1225
